"","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","Training.1_Prompt_C","Training.2_C","Q2_F2_Tree_C","Q3_F3_landscape_C","Q5_F5_People_C","QA1_A1_Car_C","Q42_A2_Cartoon_C","QA3_A3_Penguin_C","Feel","Attitude_1","generative.AI","Experience","Academic.background","Visual.art","time.investment","experiment_name","SessionID","subject_id","trial_name","FL_27_DO","FL_38_DO","Technical.issues","Feel.1","Q4_F4_Apples_C","Q1_A4_Castle_C","Academic.background_5_TEXT","Q51","Anything.else","Language","Language.1","Language_5_TEXT","Academic.background.1","Highest.education.level.completed","Languagebinary"
"11","2024-10-01 01:27:33","2024-10-01 09:33:26",98,"29152","0","2024-10-02 05:54:09","R_8U9UBESBWN2hZxD","3","2","2","4","","3","4","2","this is not the aesthetic I would expect. AI-Generated art depends on our level of knowledge of the ongoing process. It is like a good assistant we would have chosen with specific creative skills","4","1","4","7","3","4","Artist_final","FS_8U9UBESBWN2hZxD","FS_8U9UBESBWN2hZxD","FaithfulQ1","FL_34|FL_36|FL_30|FL_32","FL_41|FL_48|FL_42|FL_29","no","this is not the aesthetic I would expect. AI-Generated art depends on our level of knowledge of the ongoing process. It is like a good assistant we would have chosen with specific creative skills","2","1","","50","the visuals where mostly childish","5","5","French","4",NA,NA
"12","2024-10-01 03:11:58","2024-10-01 10:06:23",98,"24864","0","2024-10-02 05:54:10","R_7pmQkuKpNu35ngp","1","1","1","3","2","3","1","1","seems like the prompts in the front made the biggest decision. pretty fun","3","1","2","6","3","3","Artist_final","FS_7pmQkuKpNu35ngp","FS_7pmQkuKpNu35ngp","Aesthetics Q1","FL_36|FL_30|FL_34|FL_32","FL_48|FL_42|FL_29|FL_41","no","seems like the prompts in the front made the biggest decision. pretty fun","2","4","","8","good luck with the study!","5","5","chinese","3",NA,NA
"13","2024-10-01 07:26:57","2024-10-01 07:39:33",98,"755","0","2024-10-02 05:54:09","R_85ZLVMer9PrJMic","4","4","1","3","2","4","3","2","unchanged","3","1","3","6","3","4","Artist_final","FS_85ZLVMer9PrJMic","FS_85ZLVMer9PrJMic","FaithfulQ1","FL_34|FL_36|FL_32|FL_30","FL_48|FL_42|FL_41|FL_29","no","unchanged","2","4","full time professionel artist","40","","5","5","danish","5",NA,NA
"14","2024-10-01 07:45:41","2024-10-01 08:12:26",93,"1605","0","2024-10-07 03:38:34","R_2NPLMe7AgBkIHL6","4","4","2","2","2","2","3","2","that i'm not an AI","3","1","2","7","3","","Artist_final","FS_2NPLMe7AgBkIHL6","FS_2NPLMe7AgBkIHL6","Aesthetics Q2","FL_34|FL_32|FL_36|FL_30","FL_29|FL_48|FL_41|FL_42","no","that i'm not an AI","4","2","DSRA Artschool","","","5","5","french","5",NA,NA
"15","2024-10-02 01:40:43","2024-10-02 02:22:14",98,"2490","0","2024-10-02 06:54:29","R_8cuJAyxoaA8DsbL","2","3","2","1","1","4","2","1","Onlooker","3","1","2","6","3","4","Artist_final","FS_8cuJAyxoaA8DsbL","FS_8cuJAyxoaA8DsbL","Aesthetics Q3","FL_36|FL_34|FL_32|FL_30","FL_41|FL_42|FL_29|FL_48","no, was fun","Onlooker","4","4","","25","not really","5","5","Catalan","2",NA,NA
"16","2024-10-02 03:09:28","2024-10-02 03:36:49",98,"1640","0","2024-10-02 06:54:29","R_8JWVMqiDq81VfZa","4","3","2","2","2","1","4","4","I feel good about it","4","1","3","6","3","4","Artist_final","FS_8JWVMqiDq81VfZa","FS_8JWVMqiDq81VfZa","Aesthetics Q3","FL_32|FL_34|FL_36|FL_30","FL_42|FL_29|FL_41|FL_48","nope","I feel good about it","2","4","","20","that all right, good luck!","5","5","estonian","4",NA,NA
"17","2024-10-02 03:37:49","2024-10-02 04:04:54",100,"1624","1","2024-10-02 04:04:55","R_2IOPd6KAZ5NM75f","1","3","4","1","4","1","3","1","dirty","2","1","3","6","3","4","Artist_final","FS_2IOPd6KAZ5NM75f","FS_2IOPd6KAZ5NM75f","Aesthetics Q2","FL_34|FL_36|FL_30|FL_32","FL_29|FL_48|FL_41|FL_42","no","dirty","4","3","","20","no","4","4","","4",NA,NA
"18","2024-10-02 03:55:51","2024-10-02 04:23:37",98,"1666","0","2024-10-02 06:54:29","R_4BY8KciaaJelPvH","1","2","3","1","2","3","2","3","Images can be generated quickly, but ideas need to be converted to text, and a lot of information is lost in the process","2","1","3","6","2","3","Artist_final","FS_4BY8KciaaJelPvH","FS_4BY8KciaaJelPvH","FaithfulQ1","FL_30|FL_34|FL_36|FL_32","FL_48|FL_41|FL_42|FL_29","no ","Images can be generated quickly, but ideas need to be converted to text, and a lot of information is lost in the process","2","4","","7","no","5","5","Chinese","4",NA,NA
"19","2024-10-02 04:17:51","2024-10-02 04:34:20",98,"989","0","2024-10-02 06:54:29","R_815gW8il50AMGAO","2","4","2","1","2","2","4","1","great","4","1","2","6","3","3","Artist_final","FS_815gW8il50AMGAO","FS_815gW8il50AMGAO","FaithfulQ1","FL_36|FL_30|FL_32|FL_34","FL_42|FL_48|FL_41|FL_29","no","great","2","2","","40","","4","4","","3",NA,NA
"20","2024-10-02 07:37:08","2024-10-02 07:57:49",98,"1241","0","2024-10-02 09:39:55","R_2hASNDwNnQodKQ3","4","1","1","3","2","2","2","2","Motivated","4","1","3","7","2","2","Artist_final","FS_2hASNDwNnQodKQ3","FS_2hASNDwNnQodKQ3","Aesthetics Q2","FL_30|FL_34|FL_36|FL_32","FL_29|FL_48|FL_41|FL_42","No","Motivated","3","2","","15","Nice work. Looking forward to seeing the results","5","5","Spanish","1",NA,NA
"21","2024-10-02 13:40:16","2024-10-02 14:06:45",98,"1589","0","2024-10-03 03:56:46","R_51LaKjKmuMfv0vF","1","3","2","1","2","4","4","3","I feel there is more room for interpretation and meaning in textual and sonic inference. Images still seem stuck in ArtStation aesthetics","3","1","4","7","3","4","Artist_final","FS_51LaKjKmuMfv0vF","FS_51LaKjKmuMfv0vF","Aesthetics Q3","FL_30|FL_32|FL_34|FL_36","FL_42|FL_29|FL_41|FL_48","It seemed to have an older context awareness, like before 2022 (before Tesla Cybertrucks ;)","I feel there is more room for interpretation and meaning in textual and sonic inference. Images still seem stuck in ArtStation aesthetics","1","1","","27","","4","4","","4",NA,NA
"22","2024-10-03 03:23:12","2024-10-03 03:51:38",98,"1705","0","2024-10-03 04:22:28","R_8PZSXGDFJM4PVKL","1","2","","1","4","4","3","1","its a good a reason to be silly and to let your imagination run wild. other than that i don't really enjoy it","2","1","3","6","3","3","Artist_final","FS_8PZSXGDFJM4PVKL","FS_8PZSXGDFJM4PVKL","Aesthetics Q3","FL_30|FL_32|FL_36|FL_34","FL_29|FL_41|FL_42|FL_48","no","its a good a reason to be silly and to let your imagination run wild. other than that i don't really enjoy it","2","","","24","","4","4","","3",NA,NA
"23","2024-10-03 04:10:55","2024-10-03 04:35:37",98,"1481","0","2024-10-04 01:58:03","R_2QQAlww10WoHb4r","2","2","1","4","2","3","4","2","A handy tool for some. But quite boring when used without vision and knowledge.","3","2","1","6","3","3","Artist_final","FS_2QQAlww10WoHb4r","FS_2QQAlww10WoHb4r","Aesthetics Q2","FL_34|FL_30|FL_36|FL_32","FL_41|FL_29|FL_48|FL_42","No. ","A handy tool for some. But quite boring when used without vision and knowledge.","1","4","","21","","5","5","Finnish","3",NA,NA
"24","2024-10-03 04:46:32","2024-10-03 05:05:44",98,"1151","0","2024-10-04 01:58:03","R_2JBZu3Rt5eD1sow","4","4","1","1","4","1","3","4","Not yet there.","3","2","1","7","3","4","Artist_final","FS_2JBZu3Rt5eD1sow","FS_2JBZu3Rt5eD1sow","Aesthetics Q1","FL_32|FL_34|FL_36|FL_30","FL_29|FL_48|FL_42|FL_41","","Not yet there.","4","2","","20","","5","5","Lithuanian","4",NA,NA
"25","2024-10-03 05:28:33","2024-10-03 05:53:54",98,"1521","0","2024-10-04 01:58:03","R_2WOw3kkh5hJ6lwZ","1","1","4","3","4","4","3","4","I'm against it","1","1","3","7","3","3","Artist_final","FS_2WOw3kkh5hJ6lwZ","FS_2WOw3kkh5hJ6lwZ","FaithfulQ1","FL_36|FL_32|FL_34|FL_30","FL_42|FL_41|FL_48|FL_29","no","I'm against it","3","2","","30","no","4","4","","4",NA,NA
"26","2024-10-03 09:35:50","2024-10-03 10:12:33",98,"2203","0","2024-10-04 01:58:05","R_6OdJsvQX2cnRUui","4","4","4","1","2","2","4","3","Stupid question","5","1","4","7","3","3","Artist_final","FS_6OdJsvQX2cnRUui","FS_6OdJsvQX2cnRUui","Aesthetics Q1","FL_32|FL_36|FL_30|FL_34","FL_42|FL_48|FL_29|FL_41","no","Stupid question","4","1","","40","What do you hope to find out from this experiment?","4","4","","4",NA,NA
"27","2024-10-03 12:12:00","2024-10-03 13:23:13",98,"4272","0","2024-10-04 01:58:03","R_2sZjKNOtSTkwTnr","2","3","","3","2","1","2","4","ambivalent","3","1","3","5","2","4","Artist_final","FS_2sZjKNOtSTkwTnr","FS_2sZjKNOtSTkwTnr","FaithfulQ1","FL_32|FL_34|FL_36|FL_30","FL_42|FL_41|FL_48|FL_29","no","ambivalent","1","","","10","","5","5","german","3",NA,NA
"28","2024-10-03 16:19:22","2024-10-03 16:44:33",98,"1510","0","2024-10-04 01:58:10","R_8Wv8TgRPohxxY1W","1","4","","3","4","2","1","3","Interesting, new tool to exploit.","4","1","2","7","2","2","Artist_final","FS_8Wv8TgRPohxxY1W","FS_8Wv8TgRPohxxY1W","Aesthetics Q3","FL_36|FL_32|FL_30|FL_34","FL_41|FL_29|FL_42|FL_48","Not really. But it was difficult to prompt images different from the given ones...","Interesting, new tool to exploit.","2","4","","10","Let the artists go beyond censorship","5","5","Catalan","4",NA,NA
"29","2024-10-03 16:25:36","2024-10-03 16:51:45",98,"1569","0","2024-10-04 01:58:03","R_2IurHw99tjh78ct","4","4","2","4","4","3","3","1","I think the model did not have a good database and/or training ","4","1","3","6","3","4","Artist_final","FS_2IurHw99tjh78ct","FS_2IurHw99tjh78ct","Aesthetics Q1","FL_30|FL_32|FL_34|FL_36","FL_48|FL_29|FL_42|FL_41","No","I think the model did not have a good database and/or training ","1","1","","15","","5","5","Estonian","4",NA,NA
"30","2024-10-03 18:00:38","2024-10-03 19:04:17",98,"3818","0","2024-10-04 01:58:04","R_7gTus4bF7Ihghmy","4","1","2","3","4","4","1","2","not any different than other forms of art, just tired of seeing anamolies as part of its dominant aesthetics!","4","1","3","6","2","2","Artist_final","FS_7gTus4bF7Ihghmy","FS_7gTus4bF7Ihghmy","FaithfulQ1","FL_36|FL_32|FL_34|FL_30","FL_41|FL_48|FL_42|FL_29","no","not any different than other forms of art, just tired of seeing anamolies as part of its dominant aesthetics!","3","1","","5","","5","5","Farsi","1",NA,NA
"31","2024-10-04 04:13:06","2024-10-04 05:25:41",98,"4355","0","2024-10-04 08:47:43","R_2rNnWlXiltQlVp9","4","4","2","2","2","3","4","4","Mixed feelings, inspiring sometimes , frustrating others, a bit worried about the future of my job","3","1","2","7","3","2","Artist_final","FS_2rNnWlXiltQlVp9","FS_2rNnWlXiltQlVp9","Aesthetics Q3","FL_34|FL_32|FL_36|FL_30","FL_29|FL_41|FL_42|FL_48","Just the limitation of the 30 words","Mixed feelings, inspiring sometimes , frustrating others, a bit worried about the future of my job","4","4","","30","Please let us know the secuence of prompts >> images obtained","5","5","Spanish","4",NA,NA
"32","2024-10-04 05:21:02","2024-10-04 05:48:22",98,"1639","0","2024-10-04 08:47:34","R_4pFVlJxhIAEuc7v","2","3","2","3","2","3","4","2","Ai has tremendous potential. I am excited for its future, however it is still limited in terms of interpreting complex promts.","5","1","2","6","3","4","Artist_final","FS_4pFVlJxhIAEuc7v","FS_4pFVlJxhIAEuc7v","Aesthetics Q3","FL_34|FL_30|FL_36|FL_32","FL_29|FL_42|FL_41|FL_48","no","Ai has tremendous potential. I am excited for its future, however it is still limited in terms of interpreting complex promts.","2","3","","30","","4","4","","3",NA,NA
"33","2024-10-04 12:03:49","2024-10-04 12:34:36",98,"1847","0","2024-10-05 02:43:28","R_71c4wTmbXVqxUVE","1","2","1","1","4","4","4","2","It is interesting","4","1","3","7","2","3","Artist_final","FS_71c4wTmbXVqxUVE","FS_71c4wTmbXVqxUVE","Aesthetics Q2","FL_34|FL_36|FL_32|FL_30","FL_29|FL_48|FL_41|FL_42","No","It is interesting","4","1","","35","","4","4","","4",NA,NA
"34","2024-10-05 14:59:47","2024-10-07 03:48:48",98,"132541","0","2024-10-07 04:50:42","R_2Eb1AAfOmWAXYOc","2","3","2","1","4","3","1","1","I love the suspense of the image appearing!","5","1","3","7","3","3","Artist_final","FS_2Eb1AAfOmWAXYOc","FS_2Eb1AAfOmWAXYOc","Aesthetics Q2","FL_34|FL_32|FL_36|FL_30","FL_41|FL_29|FL_48|FL_42","no","I love the suspense of the image appearing!","2","3","","25","thanks for inviting me!","4","4","","4",NA,NA
"35","2024-10-06 10:06:52","2024-10-06 10:53:54",98,"2821","0","2024-10-07 02:23:24","R_4R83hDh9lkOC2mz","2","1","3","1","4","4","3","3","AI generete from the database, obviously most of the picture is a stereo type, which I understand.","3","1","2","6","3","4","Artist_final","FS_4R83hDh9lkOC2mz","FS_4R83hDh9lkOC2mz","FaithfulQ1","FL_30|FL_34|FL_36|FL_32","FL_48|FL_41|FL_42|FL_29","no","AI generete from the database, obviously most of the picture is a stereo type, which I understand.","2","1","I had been teaching at the art school.","","Well thank you. I enjoyed to explore the counter idea of the meaning of picture.","5","5","Japanese","5",NA,NA
"36","2024-10-06 12:09:34","2024-10-06 12:38:37",98,"1743","0","2024-10-07 02:23:21","R_2ilFYKoZIXMjfBD","1","3","1","3","","3","1","1","Ambivalent. Lost my enthusiasm. Developing too quickly. Too much childish fantasy imagery.","3","1","3","7","2","3","Artist_final","FS_2ilFYKoZIXMjfBD","FS_2ilFYKoZIXMjfBD","FaithfulQ1","FL_36|FL_34|FL_32|FL_30","FL_42|FL_48|FL_41|FL_29","No","Ambivalent. Lost my enthusiasm. Developing too quickly. Too much childish fantasy imagery.","2","1","","30","No","4","4","","3",NA,NA
"37","2024-10-07 02:16:21","2024-10-07 02:54:28",98,"2286","0","2024-10-07 03:38:34","R_8i4MHel9ky76qzL","3","3","4","1","","3","3","4","fun, stimulating, repetitive, inspiring, boring, easy, fast, annoying, generic, biased ","4","1","3","6","3","4","Artist_final","FS_8i4MHel9ky76qzL","FS_8i4MHel9ky76qzL","Aesthetics Q2","FL_34|FL_36|FL_32|FL_30","FL_41|FL_29|FL_48|FL_42","","fun, stimulating, repetitive, inspiring, boring, easy, fast, annoying, generic, biased ","4","4","","","","5","5","netherlands","3",NA,NA
"38","2024-10-07 03:48:15","2024-10-07 04:10:14",98,"1319","0","2024-10-07 04:50:43","R_8Eh7ggUw9mDI5Xc","3","1","2","3","4","3","4","4","it's a bit Disney like - nothing surprising","1","2","1","6","3","4","Artist_final","FS_8Eh7ggUw9mDI5Xc","FS_8Eh7ggUw9mDI5Xc","Aesthetics Q1","FL_36|FL_30|FL_32|FL_34","FL_48|FL_29|FL_42|FL_41","once i wannted to correct something but then it didn't load...time was long therefore","it's a bit Disney like - nothing surprising","2","4","","10","","5","5","German","3",NA,NA
"39","2024-10-07 10:36:37","2024-10-07 10:48:55",98,"737","0","2024-10-08 03:08:12","R_22DBZG1QSo8VR1Y","1","4","3","3","2","2","1","1","","4","1","2","7","3","3","Artist_final","FS_22DBZG1QSo8VR1Y","FS_22DBZG1QSo8VR1Y","Aesthetics Q1","FL_30|FL_32|FL_34|FL_36","FL_48|FL_42|FL_29|FL_41","not really","","2","1","","16","","5","5","Spanish","4",NA,NA
"40","2024-10-07 10:52:37","2024-10-07 12:34:56",98,"6138","0","2024-10-08 03:08:12","R_80UcdeJA5By6HBa","3","4","2","1","2","4","2","3","I have mixed feelings about it. While I appreciate its potential, I sometimes feel disheartened by the realization that automation and artificial intelligence, rather than enhancing our well-being and health, often serve to further concentrate wealth, benefiting the few at the expense of the many.","3","1","3","6","2","2","Artist_final","FS_80UcdeJA5By6HBa","FS_80UcdeJA5By6HBa","Aesthetics Q2","FL_32|FL_30|FL_36|FL_34","FL_29|FL_41|FL_48|FL_42","no it was fun (๑•᎑•๑)","I have mixed feelings about it. While I appreciate its potential, I sometimes feel disheartened by the realization that automation and artificial intelligence, rather than enhancing our well-being and health, often serve to further concentrate wealth, benefiting the few at the expense of the many.","2","4","","12","","4","4","","3",NA,NA
"41","2024-10-07 12:06:16","2024-10-07 12:17:59",98,"703","0","2024-10-08 03:08:10","R_2L0dbRoI6u1AXmq","1","1","4","3","2","4","4","3","It’s entertaining but it’s morality makes me uncomfortable ","2","1","4","6","3","2","Artist_final","FS_2L0dbRoI6u1AXmq","FS_2L0dbRoI6u1AXmq","Aesthetics Q2","FL_30|FL_34|FL_32|FL_36","FL_29|FL_41|FL_48|FL_42","Couldn’t delete original text in block 2 ","It’s entertaining but it’s morality makes me uncomfortable ","4","3","","15","This was fun ","5","5","English ","3",NA,NA
"42","2024-10-07 12:19:50","2024-10-07 13:10:00",98,"3010","0","2024-10-08 03:08:13","R_8MEn7dWXzAKt23n","1","2","4","4","3","4","1","4","it all has a sort of a glow or average look ","3","1","3","6","3","4","Artist_final","FS_8MEn7dWXzAKt23n","FS_8MEn7dWXzAKt23n","FaithfulQ1","FL_32|FL_36|FL_30|FL_34","FL_42|FL_48|FL_41|FL_29","no","it all has a sort of a glow or average look ","4","4","yes I have a degree in art and film ","35","i get bored using AI ","5","5","spanish","5",NA,NA
"43","2024-10-08 09:03:26","2024-10-08 15:11:45",98,"22098","0","2024-10-09 03:56:46","R_8nCpXnK7HwOR8PX","4","3","2","1","2","2","4","3","I love it and I use quite often in my artistic practice and just for fun too","5","1","3","7","3","3","Artist_final","FS_8nCpXnK7HwOR8PX","FS_8nCpXnK7HwOR8PX","FaithfulQ1","FL_30|FL_34|FL_36|FL_32","FL_41|FL_42|FL_48|FL_29","no","I love it and I use quite often in my artistic practice and just for fun too","2","3","","10","","5","5","Portuguese","3",NA,NA
"44","2024-10-08 10:19:02","2024-10-08 10:39:51",98,"1248","0","2024-10-09 03:56:44","R_2EQQryfJ7eIXkMV","4","2","1","3","2","3","4","3","it's fun but boring. It's incapable to create 'the new' but only regurgitations of previously conceived imageries. It looks very cheap.","3","1","3","5","3","4","Artist_final","FS_2EQQryfJ7eIXkMV","FS_2EQQryfJ7eIXkMV","Aesthetics Q3","FL_34|FL_36|FL_30|FL_32","FL_29|FL_41|FL_42|FL_48","no","it's fun but boring. It's incapable to create 'the new' but only regurgitations of previously conceived imageries. It looks very cheap.","4","3","","10","thank you","5","5","spanish","2",NA,NA
"45","2024-10-09 01:11:21","2024-10-09 01:35:43",98,"1462","0","2024-10-09 03:56:43","R_2qf0iUONWs7Ur85","2","1","3","4","2","3","3","1","I feel it's a great tool, but you need to understand the language model behind it to really get the best out of it.  ","4","1","2","7","3","2","Artist_final","FS_2qf0iUONWs7Ur85","FS_2qf0iUONWs7Ur85","Aesthetics Q2","FL_30|FL_32|FL_36|FL_34","FL_41|FL_48|FL_29|FL_42","No technichal difficulties. ","I feel it's a great tool, but you need to understand the language model behind it to really get the best out of it.  ","4","4","","23","","5","5","Spanish","4",NA,NA
"46","2024-10-09 05:04:24","2024-10-09 05:41:06",98,"2201","0","2024-10-09 06:31:59","R_2AZjByHb2ETDG5S","4","1","4","2","","","3","2","good entertainment and could be a good tool too","3","1","2","6","3","4","Artist_final","FS_2AZjByHb2ETDG5S","FS_2AZjByHb2ETDG5S","Aesthetics Q2","FL_32|FL_34|FL_30|FL_36","FL_48|FL_29|FL_41|FL_42","no","good entertainment and could be a good tool too","4","4","","25","thank you, that was interesting!","5","5","estonian","3",NA,NA
"47","2024-10-10 06:24:02","2024-10-10 07:00:18",98,"2176","0","2024-10-10 07:15:54","R_4PBFsu72QqG7tbe","1","3","2","2","1","","3","3","i do it professionally since 2017, so it's a long story","5","1","3","6","3","4","Artist_final","FS_4PBFsu72QqG7tbe","FS_4PBFsu72QqG7tbe","Aesthetics Q2","FL_30|FL_36|FL_34|FL_32","FL_48|FL_29|FL_41|FL_42","english is not my native language, so i had to refer to a translator few times","i do it professionally since 2017, so it's a long story","2","4","","26","","5","5","russian","1",NA,NA
"48","2024-10-10 06:52:57","2024-10-10 07:04:13",98,"676","0","2024-10-10 07:15:53","R_3dzISfNryhQQD72","4","1","2","1","2","1","3","2","Frustrated by the imprecision of language against the multiple valences of meaning in visual imagery.","3","1","3","7","3","4","Artist_final","FS_3dzISfNryhQQD72","FS_3dzISfNryhQQD72","FaithfulQ1","FL_30|FL_32|FL_36|FL_34","FL_48|FL_41|FL_42|FL_29","No","Frustrated by the imprecision of language against the multiple valences of meaning in visual imagery.","2","1","","25","Interesting study!","4","4","","4",NA,NA
"49","2024-10-10 08:32:27","2024-10-10 08:46:15",98,"827","0","2024-10-10 09:00:49","R_8QlHJ11m4jGNUJj","4","2","2","2","4","4","2","2","I don't feel nothing at all","3","1","3","7","3","4","Artist_final","FS_8QlHJ11m4jGNUJj","FS_8QlHJ11m4jGNUJj","FaithfulQ1","FL_36|FL_30|FL_34|FL_32","FL_48|FL_41|FL_42|FL_29","Yes, in block 2 prompts did not allow to click on submit button unless you continue typing after the default description (I am using firefox in case this helps)","I don't feel nothing at all","4","1","","25","Thank you!","5","5","Spanish","4",NA,NA
"50","2024-10-11 04:22:27","2024-10-11 04:36:02",98,"814","0","2024-10-11 05:48:47","R_4g1I0HiR86yDf45","2","3","4","2","2","4","1","3","✌️","4","1","4","7","3","4","Artist_final","FS_4g1I0HiR86yDf45","FS_4g1I0HiR86yDf45","Aesthetics Q2","FL_32|FL_36|FL_30|FL_34","FL_29|FL_48|FL_41|FL_42","No","✌️","1","4","","12","/","5","5","Greek","4",NA,NA
